method,pair,window_start,window_end,entry_time,exit_time,side,beta,w_a,w_b,qty_a,qty_b,entry_price_a,entry_price_b,exit_price_a,exit_price_b,fee,pnl,pnl_pct,capital_per_leg,bars_held
SDR,APT_USDT_USDT-NEAR_USDT_USDT,2025-01-09 15:40:00+00:00,2025-01-10 08:20:00+00:00,2025-01-10 00:00:00+00:00,2025-01-10 08:20:00+00:00,shortA_longB,1.7679623004639033,0.4802529976671604,0.5197470023328397,56.068978513597784,55.85810367667586,9.01530144,5.1185118,8.86668658,4.9624961999999995,0.4697192376309575,-0.8517714054684311,-0.08517714054684311,1000.0,100
SDR,DOGE_USDT_USDT-SOL_USDT_USDT,2025-01-10 12:50:00+00:00,2025-01-11 05:30:00+00:00,2025-01-11 01:50:00+00:00,2025-01-11 05:30:00+00:00,shortA_longB,0.1,0.6062523710288396,0.3937476289711605,1757.3740697932153,31.722976789591588,0.333983395,185.0185,0.33476347300000003,186.31863,3.886547268354654,35.98655769548164,3.598655769548164,1000.0,44
SDR,BTC_USDT_USDT-XMR_USDT_USDT,2025-01-11 00:50:00+00:00,2025-01-11 17:30:00+00:00,2025-01-11 09:10:00+00:00,2025-01-11 17:30:00+00:00,longA_shortB,10.0,0.7078933524369745,0.2921066475630255,0.0035073598153143298,0.16737997344734912,94060.90515,197.09970800000002,94422.84134,199.239922,0.21822589050733543,0.69298559551497,0.069298559551497,1000.0,100
SDR,AAVE_USDT_USDT-APT_USDT_USDT,2025-01-11 15:15:00+00:00,2025-01-12 07:55:00+00:00,2025-01-12 05:50:00+00:00,2025-01-12 07:55:00+00:00,shortA_longB,3.3145209026166285,0.4468255378654838,0.5531744621345162,1.7924653043638898,17.770625818899177,294.85948299999995,8.973097220000001,293.769374,9.07440735,0.4127436761994649,3.3415832961692185,0.3341583296169218,1000.0,25
SDR,SOL_USDT_USDT-ZEC_USDT_USDT,2025-01-12 08:20:00+00:00,2025-01-13 01:00:00+00:00,2025-01-12 16:40:00+00:00,2025-01-13 01:00:00+00:00,longA_shortB,3.4126870621472913,0.5239792167698465,0.4760207832301536,2.549169574038734,2.9107536233133042,190.99909799999998,49.014900999999995,180.738072,45.804579999999994,0.36708516935541036,-17.179726964226955,-1.7179726964226956,1000.0,100
SDR,ADA_USDT_USDT-POL_USDT_USDT,2025-01-12 15:10:00+00:00,2025-01-13 07:50:00+00:00,2025-01-13 04:00:00+00:00,2025-01-13 07:50:00+00:00,longA_shortB,2.102373916204314,0.4802873356162897,0.5197126643837101,561.4106895049326,578.5781362674113,0.9030903,0.416811677,0.9252925200000001,0.429872983,0.4549040676732539,4.452673488368626,0.44526734883686264,1000.0,46
SDR,AVAX_USDT_USDT-NEAR_USDT_USDT,2025-01-13 04:05:00+00:00,2025-01-13 20:45:00+00:00,2025-01-13 19:40:00+00:00,2025-01-13 20:45:00+00:00,longA_shortB,6.808455958652669,0.5122405148764592,0.4877594851235409,13.948836149537772,15.142517494868025,35.1925189,4.7614761,35.496549300000005,4.797479699999999,0.3392330655958414,3.3564520256044,0.33564520256044,1000.0,13
SDR,ADA_USDT_USDT-NEAR_USDT_USDT,2025-01-13 18:25:00+00:00,2025-01-14 11:05:00+00:00,2025-01-14 02:45:00+00:00,2025-01-14 11:05:00+00:00,longA_shortB,0.1779242148161385,0.48752114754399023,0.5124788524560098,505.3928584959724,561.8561715578862,0.9720972,4.914491399999999,1.0014001300000002,4.9784977999999995,1.966748548205515,-23.119647852400874,-2.3119647852400873,1000.0,100
SDR,BTC_USDT_USDT-ETH_USDT_USDT,2025-01-14 07:50:00+00:00,2025-01-15 00:30:00+00:00,2025-01-14 16:10:00+00:00,2025-01-15 00:30:00+00:00,shortA_longB,10.0,0.5451658179428697,0.45483418205713044,0.00478248318353314,0.014357074162868714,96821.28116,3225.212489,97416.14064,3239.3239,0.3065247095210309,-2.9488315949165758,-0.2948831594916576,1000.0,100
SDR,ETH_USDT_USDT-SOL_USDT_USDT,2025-01-14 21:10:00+00:00,2025-01-15 13:50:00+00:00,2025-01-15 05:30:00+00:00,2025-01-15 13:50:00+00:00,shortA_longB,7.6955815674111125,0.6098124389125054,0.3901875610874946,0.12710065991790662,0.2798746691439526,3268.62683,192.889287,3431.733139,202.790277,0.2887082582426843,-18.248591468469066,-1.8248591468469066,1000.0,100
SDR,BCH_USDT_USDT-LTC_USDT_USDT,2025-01-15 06:20:00+00:00,2025-01-15 23:00:00+00:00,2025-01-15 14:40:00+00:00,2025-01-15 23:00:00+00:00,longA_shortB,3.149085083589036,0.6776981405551908,0.3223018594448092,0.8996462656630757,1.1992896710857754,453.465342,108.020801,458.725868,120.03200199999999,0.3282452360241725,-10.0005419613358,-1.00005419613358,1000.0,100
