method,pair,window_start,window_end,entry_time,exit_time,side,beta,w_a,w_b,qty_a,qty_b,entry_price_a,entry_price_b,exit_price_a,exit_price_b,fee,pnl,pnl_pct,capital_per_leg
Distance,DOT_USDT_USDT-POL_USDT_USDT,2025-01-19 01:40:00+00:00,2025-01-19 09:55:00+00:00,2025-01-18 23:05:00+00:00,2025-01-19 06:00:00+00:00,longA_shortB,10.0,0.5,0.5,73.23861139592793,1060.2879742137966,6.827,0.47157,6.728,0.4727,0.1993947502882665,-8.648142689346757,-0.8648142689346758,1000.0
Distance,AAVE_USDT_USDT-LINK_USDT_USDT,2025-01-19 10:00:00+00:00,2025-01-19 18:15:00+00:00,2025-01-19 12:50:00+00:00,2025-01-19 13:10:00+00:00,longA_shortB,10.0,0.5,0.5,1.466318660371272,18.9897455374098,340.99,26.33,340.23,25.844,0.19896565814869366,7.915648491150259,0.7915648491150259,1000.0
Distance,POL_USDT_USDT-UNI_USDT_USDT,2025-01-19 18:20:00+00:00,2025-01-20 02:35:00+00:00,2025-01-19 21:05:00+00:00,2025-01-19 21:30:00+00:00,longA_shortB,0.1,0.5,0.5,1098.1046713372718,36.81071928145476,0.45533,13.583,0.44802,13.374,0.19842794145227005,-0.5321327591037384,-0.053213275910373836,1000.0
Distance,BCH_USDT_USDT-POL_USDT_USDT,2025-01-20 19:20:00+00:00,2025-01-21 03:35:00+00:00,2025-01-20 23:30:00+00:00,2025-01-21 01:30:00+00:00,shortA_longB,10.0,0.5,0.5,1.1622771333596782,1140.042865611747,430.19,0.43858,428.66,0.44387,0.20042525427450458,7.6086855188518685,0.7608685518851868,1000.0
Distance,WLD_USDT_USDT-ZEC_USDT_USDT,2025-01-21 03:40:00+00:00,2025-01-21 11:55:00+00:00,2025-01-21 09:50:00+00:00,2025-01-21 10:45:00+00:00,shortA_longB,0.1,0.5,0.5,227.87348464132714,10.01401962747847,2.1942,49.93,2.109,50.64,0.19876951330440687,26.326005313646377,2.6326005313646377,1000.0
Distance,HBAR_USDT_USDT-XLM_USDT_USDT,2025-01-21 20:20:00+00:00,2025-01-22 04:35:00+00:00,2025-01-22 03:35:00+00:00,2025-01-22 04:05:00+00:00,longA_shortB,0.8559234970016266,0.5,0.5,1529.285823520416,1138.978108840748,0.32695,0.43899,0.33041,0.43949,0.2005860818003801,4.521253813159828,0.4521253813159828,1000.0
Distance,DOGE_USDT_USDT-UNI_USDT_USDT,2025-01-22 04:40:00+00:00,2025-01-22 12:55:00+00:00,2025-01-22 10:15:00+00:00,2025-01-22 12:30:00+00:00,shortA_longB,0.1,0.5,0.5,1388.7345850461058,38.095238095238095,0.36004,13.125,0.36096,13.115,0.20008966834372902,-1.8586778675384865,-0.18586778675384866,1000.0
Distance,DOT_USDT_USDT-POL_USDT_USDT,2025-01-22 13:00:00+00:00,2025-01-22 21:15:00+00:00,2025-01-22 20:35:00+00:00,2025-01-22 21:05:00+00:00,longA_shortB,10.0,0.5,0.5,79.64319847085059,1155.268022181146,6.278,0.4328,6.356,0.4363,0.20102556075583602,1.9677058423365184,0.19677058423365185,1000.0
Distance,APT_USDT_USDT-DOT_USDT_USDT,2025-01-22 21:20:00+00:00,2025-01-23 05:35:00+00:00,2025-01-23 03:25:00+00:00,2025-01-23 04:20:00+00:00,longA_shortB,1.4094008629629922,0.5,0.5,60.415659739004354,79.25186241876683,8.276,6.309,8.2149,6.249,0.1991553491444821,0.8645595859284184,0.08645595859284184,1000.0
Distance,NEAR_USDT_USDT-POL_USDT_USDT,2025-01-24 06:40:00+00:00,2025-01-24 14:55:00+00:00,2025-01-24 11:45:00+00:00,2025-01-24 13:50:00+00:00,longA_shortB,9.316072512283274,0.5,0.5,98.30908375933936,1139.3674232066357,5.086,0.43884,5.029,0.43322,0.19879931373072965,0.6008278304081979,0.06008278304081979,1000.0
Distance,SOL_USDT_USDT-UNI_USDT_USDT,2025-01-24 23:20:00+00:00,2025-01-25 07:35:00+00:00,2025-01-25 03:45:00+00:00,2025-01-25 04:25:00+00:00,shortA_longB,10.0,0.5,0.5,1.9972836941759207,41.108279207432375,250.34,12.163,248.33,12.12,0.1994217803768787,2.047462438997069,0.20474624389970686,1000.0
Distance,AAVE_USDT_USDT-UNI_USDT_USDT,2025-01-25 16:00:00+00:00,2025-01-26 00:15:00+00:00,2025-01-25 19:40:00+00:00,2025-01-25 21:25:00+00:00,shortA_longB,10.0,0.5,0.5,1.5090239633005373,40.88641753209584,331.34,12.229,331.67,12.303,0.20035235728052644,2.327264632205393,0.2327264632205393,1000.0
Distance,ENA_USDT_USDT-TAO_USDT_USDT,2025-01-25 16:00:00+00:00,2025-01-26 00:15:00+00:00,2025-01-25 14:05:00+00:00,2025-01-25 18:40:00+00:00,longA_shortB,0.1,0.5,0.5,572.6065048098947,1.241495754084521,0.8732,402.74,0.8395,411.18,0.19911813849523802,-29.974181515062014,-2.9974181515062015,1000.0
Distance,ADA_USDT_USDT-BTC_USDT_USDT,2025-01-26 17:00:00+00:00,2025-01-27 01:15:00+00:00,2025-01-26 13:00:00+00:00,2025-01-26 19:25:00+00:00,shortA_longB,0.1,0.5,0.5,506.6882853668423,0.004775321140346688,0.9868,104705.0,0.9302,101755.3,0.1957235678280556,14.397068616254598,1.4397068616254598,1000.0
Distance,DOT_USDT_USDT-POL_USDT_USDT,2025-01-27 09:40:00+00:00,2025-01-27 17:55:00+00:00,2025-01-27 16:00:00+00:00,2025-01-27 17:15:00+00:00,shortA_longB,10.0,0.5,0.5,83.41675008341676,1197.117341441808,5.994,0.41767,5.897,0.40994,0.19826548581925638,-1.3605577770729964,-0.13605577770729962,1000.0
Distance,ADA_USDT_USDT-DOT_USDT_USDT,2025-01-27 18:00:00+00:00,2025-01-28 02:15:00+00:00,2025-01-27 20:35:00+00:00,2025-01-28 00:10:00+00:00,shortA_longB,0.14747294189464077,0.5,0.5,524.0540823813018,82.9875518672199,0.9541,6.025,0.9519,5.931,0.19910462511432425,-6.8470155193941675,-0.6847015519394167,1000.0
Distance,LINK_USDT_USDT-SUI_USDT_USDT,2025-01-28 02:20:00+00:00,2025-01-28 10:35:00+00:00,2025-01-28 04:55:00+00:00,2025-01-28 05:20:00+00:00,shortA_longB,5.185811337453825,0.5,0.5,20.973154362416107,131.52010942473103,23.84,3.8017,23.939,3.8493,0.20083366994904964,3.9831812567889604,0.398318125678896,1000.0
Distance,BNB_USDT_USDT-TON_USDT_USDT,2025-01-29 20:00:00+00:00,2025-01-30 04:15:00+00:00,2025-01-29 23:10:00+00:00,2025-01-30 00:00:00+00:00,longA_shortB,10.0,0.5,0.5,0.7405871374825962,102.34995496601981,675.14,4.8852,677.55,4.8432,0.19974861168927605,5.88376449821657,0.588376449821657,1000.0
Distance,HBAR_USDT_USDT-POL_USDT_USDT,2025-01-31 05:20:00+00:00,2025-01-31 13:35:00+00:00,2025-01-31 10:45:00+00:00,2025-01-31 12:20:00+00:00,longA_shortB,0.86846371908947,0.5,0.5,1638.001638001638,1217.1669222717203,0.30525,0.41079,0.30253,0.40488,0.198835117903401,2.5392569373579748,0.2539256937357975,1000.0
